Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
Frozen yogurt,Sweets,0.1,127.0,22.0,0.013,1e-05,3.6,0.0,4e-06,0.00046,0.01,0.99,22.0,0.0,0.0,0.0,0.089,0.1,0.156,3.0,2.3,1.8999999999999998e-06,0.063,,176.0,4.9e-05,4e-05,7e-08,0.00017999999999999998,7.000000000000001e-05,,4e-05,0.0007,0.00028000000000000003,0.023,,,,,,,,,,20.0,,,,1.0000000000000001e-07,8.999999999999999e-05,3e-07,,,,,,,
Soybean oil,Oils,0.0,884.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0081,2.5e-05,,,,,,,
Peanut oil,Oils,0.0,884.0,0.0,0.0,0.0,100.0,0.0,0.0,2.9999999999999997e-05,0.0,46.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0001,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.016,7e-07,,,,,,,
Coconut oil,Oils,0.001,892.0,0.0,0.0,0.0,99.0,0.0,0.0,5e-05,0.0,6.3,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,82.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.00011,6e-07,0.02,0.0,0.0,0.0,0.0,1.7,
Olive oil,Oils,0.001,884.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0005600000000000001,0.0,73.0,0.0,0.0,0.0,0.0,0.0,11.0,0.001,0.0,14.0,0.0,0.002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.014,6e-05,,,,,,,
Sesame oil,Oils,0.0,884.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,14.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0014,1.4e-05,,,,,,,
Sunflower oil,Oils,0.0,884.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.041,5.4e-06,,,,,,,
Margarine,Lactose-Free Dairy,0.003,717.0,0.7,0.0,0.0,81.0,0.0,1e-06,5.9999999999999995e-05,0.003,39.0,0.7,0.0,0.01,0.0,0.005,24.0,0.018,0.16,15.0,0.0,0.002,15.0,3577.0,0.000819,1e-05,1.0000000000000001e-07,4e-05,2e-05,,1e-05,0.0002,0.0,0.012,,,,,,,,,,0.0,,,,0.0,0.009,9.3e-05,,,,,,22.0,
Barbecue sauce,Sauces,0.033,172.0,41.0,0.0,7.000000000000001e-05,0.63,0.9,2e-06,0.00064,0.013,0.08,40.0,0.0,0.0,0.0,0.02,0.1,0.232,0.82,0.05,1.3e-06,1.027,0.0,224.0,1.1e-05,2e-05,0.0,5.9999999999999995e-05,0.0006,0.00016,8e-05,0.0006,0.00017,0.0070999999999999995,14.0,,,,,0.00013000000000000002,,,0.35,33.0,,,,0.0,0.0008,1.8000000000000001e-06,0.02,0.0,0.0,0.0,0.0,0.08,
Salsa,Sauces,0.012,36.0,7.0,0.0,0.0001,0.2,1.4,1.9e-05,0.0022,0.016,0.02,5.6,0.0,0.0,0.0,0.03,0.11,0.27,1.5,0.03,4.0000000000000003e-07,0.43,,550.0,2.8e-05,5e-05,0.0,2.9999999999999997e-05,0.0011,,0.00015,0.004,0.00017,,,,,,,,,,,,,,,,,,,,,,,,
